,pv,wind,demand_el,demand_th
90,0.0,0.105,130.65,398.31069993116625
91,0.0,0.098,126.75,588.3882679853473
92,0.0,0.098,122.85000000000001,327.36960598147715
93,0.0,0.093,121.875,357.2507238228043
94,0.0,0.094,119.925,452.0893734938481
95,0.0,0.102,115.05,403.21738306814007
96,0.0,0.114,109.2,423.9188938698784
97,0.0,0.127,106.275,427.1240491106617
98,0.0,0.144,102.375,400.9879550108793
99,0.0,0.163,102.375,458.0050936920107
100,0.0,0.169,104.325,484.0630169544913
101,0.0,0.173,108.22500000000001,786.9430210022372
102,0.0,0.174,110.175,674.2319644425854
103,0.0,0.145,134.55,499.7083859219762
104,0.03,0.142,176.475,773.4360182213234
105,0.072,0.146,188.175,443.9418872408447
106,0.102,0.144,189.15,673.8216979002791
107,0.101,0.139,179.4,706.6511042994086
108,0.075,0.138,174.525,514.8854075792347
109,0.04,0.139,187.20000000000002,419.284080039104
110,0.009,0.124,172.57500000000002,756.5344192191476
111,0.0,0.13,168.675,367.5965359393216
112,0.0,0.141,141.375,621.5035303601485
113,0.0,0.145,140.4,529.1073580608012
114,0.0,0.14,130.65,607.3260782213234
115,0.0,0.139,132.6,310.6906674013669
116,0.0,0.159,117.0,402.77642642088824
117,0.0,0.195,122.85000000000001,338.86754757923467
118,0.0,0.207,117.0,478.3272857961448
119,0.0,0.176,113.10000000000001,395.09302779179313
120,0.0,0.17,110.175,408.55477908530486
121,0.0,0.167,105.3,403.6771271185007
122,0.0,0.162,103.35000000000001,411.36407379438856
123,0.0,0.17,102.375,398.94944650900493
124,0.0,0.179,105.3,513.7156386141256
125,0.0,0.184,110.175,729.8998202757302
126,0.0,0.192,117.97500000000001,642.8005949571507
127,0.001,0.202,133.57500000000002,512.2673442646649
128,0.052,0.174,137.475,786.2885842370015
129,0.12,0.134,140.4,447.62829155004846
130,0.164,0.135,143.32500000000002,669.5754601927404
131,0.163,0.141,148.20000000000002,553.8449034891893
132,0.127,0.152,139.425,639.418126148479
133,0.085,0.15,143.32500000000002,396.23989814294623
134,0.026,0.178,136.5,726.099447478124
135,0.0,0.211,135.525,345.0171648188341
136,0.0,0.205,136.5,625.8807921872076
137,0.0,0.208,145.275,611.925442214871
138,0.0,0.219,138.45000000000002,534.0448642370015
139,0.0,0.226,131.625,359.00387357217915
140,0.0,0.242,120.9,441.9234708852261
141,0.0,0.227,118.95,343.0650461484789
142,0.0,0.235,118.95,428.7348433508726
143,0.0,0.264,113.10000000000001,415.1429198331172
144,0.0,0.277,108.22500000000001,446.92558908799543
145,0.0,0.297,103.35000000000001,432.7943424958541
146,0.0,0.305,99.45,458.2667762202593
147,0.0,0.305,99.45,411.98510558716634
148,0.0,0.28,101.4,516.7486580453854
149,0.0,0.254,107.25,745.54400063421
150,0.0,0.274,113.10000000000001,693.9997465932585
151,0.005,0.317,129.675,553.8005261649239
152,0.067,0.279,133.57500000000002,774.8605849917082
153,0.144,0.229,140.4,444.2940867980168
154,0.194,0.235,149.175,640.5307071145635
155,0.169,0.241,183.3,455.7253222169426
156,0.141,0.206,180.375,784.8238192374184
157,0.108,0.179,179.4,497.9285670027753
158,0.029,0.213,179.4,533.1197377476562
159,0.0,0.233,157.95000000000002,621.1064407271804
160,0.0,0.254,142.35,527.9798548799203
161,0.0,0.245,136.5,566.5628660531358
162,0.0,0.231,130.65,461.2075249917082
163,0.0,0.221,131.625,495.56277573658923
164,0.0,0.201,124.80000000000001,516.9234575428978
165,0.0,0.18,118.95,253.55210923741845
166,0.0,0.168,116.025,433.92843635086473
167,0.0,0.167,111.15,409.55636186276115
168,0.0,0.157,110.175,402.1493115952621
169,0.0,0.153,106.275,432.5212727349745
170,0.0,0.147,102.375,414.7146936071168
171,0.0,0.137,102.375,428.57165414225693
172,0.0,0.118,104.325,508.96924608467947
173,0.0,0.108,108.22500000000001,753.2097251329467
174,0.0,0.111,108.22500000000001,648.8972045283745
175,0.001,0.108,129.675,501.31423808637584
176,0.041,0.096,134.55,747.934365469949
177,0.103,0.084,136.5,557.1099875512358
178,0.136,0.088,152.1,596.7370672836656
179,0.133,0.106,142.35,454.80621379509626
180,0.108,0.118,134.55,704.3558290973825
181,0.062,0.109,146.25,514.746540574097
182,0.014,0.115,129.675,453.8948967485255
183,0.0,0.134,113.10000000000001,740.9476014462394
184,0.0,0.146,119.925,474.70445876038036
185,0.0,0.147,128.70000000000002,590.7464413768073
186,0.0,0.151,126.75,367.12825546994884
187,0.0,0.167,126.75,476.44870164437737
188,0.0,0.17,121.875,543.1816437256642
189,0.0,0.176,120.9,603.4225390973826
190,0.0,0.189,117.0,311.92907071296133
191,0.0,0.194,116.025,592.2495132701146
192,0.0,0.18,109.2,526.4360740013618
193,0.0,0.182,107.25,285.76661678561084
194,0.0,0.189,103.35000000000001,391.6901397812355
195,0.0,0.192,100.425,449.497299358484
196,0.0,0.179,104.325,457.4794515086057
197,0.0,0.179,102.375,485.47242015284536
198,0.0,0.193,102.375,479.36878694584493
199,0.002,0.238,103.35000000000001,588.3564025580956
200,0.043,0.21,101.4,579.3635035712215
201,0.102,0.165,95.55,490.19828298084724
